Customer ID,Total Cutomer,Brand,Age,Average Age,Age Group,Gender,Location,Rating,Average Satisfaction,Customer Satisfaction,Feedback Text,Customer Sentiment,Complaint Tag,Sentiment Score,Review Date,Month and Year,Monthly Satisfaction,High Risk Flag,High Risk Customer,Churn Risk%
CUST1010,1000,Apple,41,39,36-45,Male,Chittagong,2,3,Dissatisfied,Lags frequently,Negative,Slow System,-1,"5 March, 2024",Mar-2024,,1,410,41%
CUST1011,1000,Samsung,53,39,46-55,Other,Dhaka,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"15 October, 2024",Oct-2024,,0,409,41%
CUST1012,1000,Xiaomi,57,39,47-60,Male,Dhaka,3,3,Neutral,Poor camera resolution,Negative,General,-1,"9 March, 2024",Mar-2024,,0,409,41%
CUST1013,1000,Oneplus,41,39,36-45,Other,Rangpur,5,3,Very Satisfied,Amazing camera quality,Positive,General,1,"8 February, 2024",Feb-2024,,0,409,41%
CUST1014,1000,Samsung,20,39,18-25,Female,Sylhet,4,3,Satisfied,Design feels outdated,Negative,General,-1,"9 March, 2024",Mar-2024,,0,409,41%
CUST1015,1000,Apple,39,39,36-45,Female,Rajshahi,3,3,Neutral,Very durable,Positive,General,1,"22 April, 2023",Apr-2023,,0,409,41%
CUST1016,1000,Samsung,19,39,18-25,Male,Rangpur,2,3,Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"10 January, 2024",Jan-2024,,1,409,41%
CUST1017,1000,Oppo,41,39,36-45,Other,Sylhet,2,3,Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"28 February, 2023",Feb-2023,,1,408,41%
CUST1018,1000,Apple,47,39,46-55,Female,Sylhet,3,3,Neutral,Amazing camera quality,Positive,General,1,"12 February, 2023",Feb-2023,,0,407,41%
CUST1019,1000,Xiaomi,55,39,46-55,Male,Rangpur,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"26 July, 2023",Jul-2023,,0,407,41%
CUST1020,1000,Oneplus,19,39,18-25,Male,Barisal,2,3,Dissatisfied,Great performance under heavy use,Positive,General,1,"23 October, 2023",Oct-2023,,1,407,41%
CUST1021,1000,Samsung,38,39,36-45,Female,Sylhet,5,3,Very Satisfied,Poor camera resolution,Negative,General,-1,"28 April, 2023",Apr-2023,,0,406,41%
CUST1022,1000,Apple,50,39,46-55,Female,Barisal,2,3,Dissatisfied,Design feels outdated,Negative,General,-1,"15 June, 2024",Jun-2024,,1,406,41%
CUST1023,1000,Oppo,29,39,26-35,Male,Dhaka,1,3,Very Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"10 August, 2023",Aug-2023,,1,405,41%
CUST1024,1000,Apple,39,39,36-45,Other,Dhaka,1,3,Very Dissatisfied,Poor camera resolution,Negative,General,-1,"15 June, 2023",Jun-2023,,1,404,40%
CUST1025,1000,Vivo,42,39,36-45,Other,Sylhet,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"4 October, 2024",Oct-2024,,0,403,40%
CUST1026,1000,Oppo,44,39,36-45,Other,Dhaka,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"5 June, 2023",Jun-2023,,0,403,40%
CUST1027,1000,Xiaomi,59,39,47-60,Male,Rajshahi,4,3,Satisfied,Lags frequently,Negative,Slow System,-1,"3 July, 2023",Jul-2023,,0,403,40%
CUST1028,1000,Oneplus,45,39,36-45,Female,Barisal,4,3,Satisfied,Too expensive for features,Negative,Pricing Issue,-1,"31 March, 2023",Mar-2023,,0,403,40%
CUST1029,1000,Xiaomi,33,39,26-35,Male,Barisal,4,3,Satisfied,Poor camera resolution,Negative,General,-1,"4 April, 2023",Apr-2023,,0,403,40%
CUST1030,1000,Samsung,32,39,26-35,Female,Sylhet,4,3,Satisfied,Very durable,Positive,General,1,"13 January, 2023",Jan-2023,,0,403,40%
CUST1031,1000,Apple,20,39,18-25,Other,Dhaka,5,3,Very Satisfied,Great performance under heavy use,Positive,General,1,"13 March, 2024",Mar-2024,,0,403,40%
CUST1032,1000,Vivo,54,39,46-55,Other,Chittagong,5,3,Very Satisfied,Battery drains quickly,Negative,Battery Problem,-1,"21 June, 2024",Jun-2024,,0,403,40%
CUST1033,1000,Oppo,24,39,18-25,Female,Rangpur,2,3,Dissatisfied,Design feels outdated,Negative,General,-1,"9 August, 2024",Aug-2024,,1,403,40%
CUST1034,1000,Oppo,38,39,36-45,Female,Rangpur,1,3,Very Dissatisfied,Affordable and reliable,Positive,General,1,"30 May, 2023",May-2023,,1,402,40%
CUST1035,1000,Apple,26,39,26-35,Male,Barisal,4,3,Satisfied,Customer service is slow,Negative,Slow System,-1,"21 October, 2024",Oct-2024,,0,401,40%
CUST1036,1000,Vivo,56,39,47-60,Other,Sylhet,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"8 January, 2023",Jan-2023,,1,401,40%
CUST1037,1000,Apple,35,39,26-35,Male,Sylhet,1,3,Very Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"29 January, 2023",Jan-2023,,1,400,40%
CUST1038,1000,Samsung,21,39,18-25,Male,Rajshahi,3,3,Neutral,Customer service is slow,Negative,Slow System,-1,"23 October, 2023",Oct-2023,,0,399,40%
CUST1039,1000,Xiaomi,42,39,36-45,Male,Khulna,5,3,Very Satisfied,Customer service is slow,Negative,Slow System,-1,"21 December, 2024",Dec-2024,,0,399,40%
CUST1040,1000,Oppo,31,39,26-35,Other,Khulna,1,3,Very Dissatisfied,Stylish design,Neutral,General,0,"1 October, 2024",Oct-2024,,1,399,40%
CUST1041,1000,Samsung,26,39,26-35,Male,Barisal,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"6 December, 2023",Dec-2023,,0,398,40%
CUST1042,1000,Xiaomi,43,39,36-45,Male,Rangpur,1,3,Very Dissatisfied,Very durable,Positive,General,1,"19 September, 2024",Sep-2024,,1,398,40%
CUST1043,1000,Samsung,19,39,18-25,Male,Rajshahi,5,3,Very Satisfied,Excellent customer support,Positive,Service Complaint,1,"14 March, 2024",Mar-2024,,0,397,40%
CUST1044,1000,Vivo,37,39,36-45,Male,Rajshahi,5,3,Very Satisfied,Affordable and reliable,Positive,General,1,"24 May, 2023",May-2023,,0,397,40%
CUST1045,1000,Oppo,45,39,36-45,Male,Rajshahi,2,3,Dissatisfied,Stylish design,Neutral,General,0,"2 June, 2024",Jun-2024,,1,397,40%
CUST1046,1000,Apple,24,39,18-25,Male,Barisal,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"14 February, 2023",Feb-2023,,0,396,40%
CUST1047,1000,Apple,25,39,18-25,Other,Khulna,1,3,Very Dissatisfied,Customer service is slow,Negative,Slow System,-1,"27 August, 2023",Aug-2023,,1,396,40%
CUST1048,1000,Xiaomi,52,39,46-55,Male,Rangpur,1,3,Very Dissatisfied,Excellent customer support,Positive,Service Complaint,1,"4 June, 2023",Jun-2023,,1,395,40%
CUST1049,1000,Oneplus,31,39,26-35,Female,Rajshahi,3,3,Neutral,Amazing camera quality,Positive,General,1,"30 June, 2023",Jun-2023,,0,394,39%
CUST1050,1000,Vivo,34,39,26-35,Male,Rangpur,5,3,Very Satisfied,Amazing camera quality,Positive,General,1,"3 August, 2023",Aug-2023,,0,394,39%
CUST1051,1000,Xiaomi,53,39,46-55,Male,Dhaka,1,3,Very Dissatisfied,Very durable,Positive,General,1,"29 March, 2023",Mar-2023,,1,394,39%
CUST1052,1000,Oneplus,57,39,47-60,Other,Sylhet,5,3,Very Satisfied,Amazing camera quality,Positive,General,1,"13 September, 2023",Sep-2023,,0,393,39%
CUST1053,1000,Samsung,21,39,18-25,Other,Sylhet,1,3,Very Dissatisfied,Excellent customer support,Positive,Service Complaint,1,"25 May, 2024",May-2024,,1,393,39%
CUST1054,1000,Vivo,19,39,18-25,Female,Rangpur,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"14 March, 2023",Mar-2023,,1,392,39%
CUST1055,1000,Samsung,23,39,18-25,Female,Chittagong,4,3,Satisfied,Excellent customer support,Positive,Service Complaint,1,"28 June, 2023",Jun-2023,,0,391,39%
CUST1056,1000,Oppo,59,39,47-60,Other,Chittagong,1,3,Very Dissatisfied,Design feels outdated,Negative,General,-1,"31 July, 2023",Jul-2023,,1,391,39%
CUST1057,1000,Vivo,21,39,18-25,Other,Barisal,5,3,Very Satisfied,Affordable and reliable,Positive,General,1,"22 August, 2023",Aug-2023,,0,390,39%
CUST1058,1000,Oneplus,46,39,46-55,Male,Barisal,2,3,Dissatisfied,Customer service is slow,Negative,Slow System,-1,"9 April, 2024",Apr-2024,,1,390,39%
CUST1059,1000,Oppo,35,39,26-35,Other,Sylhet,1,3,Very Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"11 August, 2023",Aug-2023,,1,389,39%
CUST1060,1000,Apple,43,39,36-45,Female,Dhaka,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"22 September, 2024",Sep-2024,,0,388,39%
CUST1061,1000,Oneplus,51,39,46-55,Male,Khulna,4,3,Satisfied,Battery drains quickly,Negative,Battery Problem,-1,"21 September, 2023",Sep-2023,,0,388,39%
CUST1062,1000,Xiaomi,27,39,26-35,Female,Khulna,1,3,Very Dissatisfied,Poor camera resolution,Negative,General,-1,"26 July, 2023",Jul-2023,,1,388,39%
CUST1063,1000,Apple,53,39,46-55,Male,Barisal,2,3,Dissatisfied,Amazing camera quality,Positive,General,1,"29 August, 2024",Aug-2024,,1,387,39%
CUST1064,1000,Apple,31,39,26-35,Other,Dhaka,3,3,Neutral,Very durable,Positive,General,1,"1 January, 2024",Jan-2024,,0,386,39%
CUST1065,1000,Xiaomi,48,39,46-55,Female,Barisal,2,3,Dissatisfied,Amazing camera quality,Positive,General,1,"3 October, 2023",Oct-2023,,1,386,39%
CUST1066,1000,Vivo,32,39,26-35,Male,Khulna,2,3,Dissatisfied,Poor camera resolution,Negative,General,-1,"15 January, 2024",Jan-2024,,1,385,39%
CUST1067,1000,Apple,25,39,18-25,Male,Rangpur,3,3,Neutral,Affordable and reliable,Positive,General,1,"5 November, 2023",Nov-2023,,0,384,38%
CUST1068,1000,Oneplus,31,39,26-35,Other,Barisal,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"22 September, 2024",Sep-2024,,1,384,38%
CUST1069,1000,Oppo,40,39,36-45,Other,Rajshahi,3,3,Neutral,Lags frequently,Negative,Slow System,-1,"25 September, 2023",Sep-2023,,0,383,38%
CUST1070,1000,Apple,57,39,47-60,Other,Rangpur,1,3,Very Dissatisfied,Design feels outdated,Negative,General,-1,"5 March, 2023",Mar-2023,,1,383,38%
CUST1071,1000,Oneplus,38,39,36-45,Female,Barisal,3,3,Neutral,Breaks easily,Negative,General,-1,"16 December, 2023",Dec-2023,,0,382,38%
CUST1072,1000,Samsung,33,39,26-35,Male,Sylhet,3,3,Neutral,Excellent customer support,Positive,Service Complaint,1,"8 May, 2024",May-2024,,0,382,38%
CUST1073,1000,Oneplus,35,39,26-35,Other,Barisal,4,3,Satisfied,Design feels outdated,Negative,General,-1,"6 June, 2024",Jun-2024,,0,382,38%
CUST1074,1000,Oppo,41,39,36-45,Female,Sylhet,3,3,Neutral,Great performance under heavy use,Positive,General,1,"8 April, 2023",Apr-2023,,0,382,38%
CUST1075,1000,Oneplus,43,39,36-45,Female,Dhaka,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"12 March, 2023",Mar-2023,,0,382,38%
CUST1076,1000,Xiaomi,42,39,36-45,Female,Khulna,1,3,Very Dissatisfied,Amazing camera quality,Positive,General,1,"30 December, 2023",Dec-2023,,1,382,38%
CUST1077,1000,Oppo,58,39,47-60,Other,Rangpur,4,3,Satisfied,Excellent battery life,Positive,Battery Problem,1,"23 July, 2024",Jul-2024,,0,381,38%
CUST1078,1000,Vivo,46,39,46-55,Other,Rangpur,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"3 October, 2023",Oct-2023,,0,381,38%
CUST1079,1000,Samsung,32,39,26-35,Male,Chittagong,1,3,Very Dissatisfied,Great performance under heavy use,Positive,General,1,"19 February, 2023",Feb-2023,,1,381,38%
CUST1080,1000,Xiaomi,18,39,18-25,Male,Chittagong,1,3,Very Dissatisfied,Customer service is slow,Negative,Slow System,-1,"24 December, 2023",Dec-2023,,1,380,38%
CUST1081,1000,Vivo,42,39,36-45,Other,Khulna,5,3,Very Satisfied,Affordable and reliable,Positive,General,1,"28 December, 2024",Dec-2024,,0,379,38%
CUST1082,1000,Oneplus,24,39,18-25,Female,Chittagong,3,3,Neutral,Amazing camera quality,Positive,General,1,"17 July, 2024",Jul-2024,,0,379,38%
CUST1083,1000,Oppo,26,39,26-35,Female,Rangpur,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"29 April, 2024",Apr-2024,,1,379,38%
CUST1084,1000,Samsung,41,39,36-45,Female,Barisal,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"25 March, 2023",Mar-2023,,0,378,38%
CUST1085,1000,Xiaomi,18,39,18-25,Male,Dhaka,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"29 September, 2024",Sep-2024,,1,378,38%
CUST1086,1000,Vivo,25,39,18-25,Female,Dhaka,5,3,Very Satisfied,Amazing camera quality,Positive,General,1,"6 August, 2024",Aug-2024,,0,377,38%
CUST1087,1000,Vivo,41,39,36-45,Male,Khulna,1,3,Very Dissatisfied,Very durable,Positive,General,1,"23 October, 2023",Oct-2023,,1,377,38%
CUST1088,1000,Samsung,28,39,26-35,Male,Chittagong,1,3,Very Dissatisfied,Affordable and reliable,Positive,General,1,"24 August, 2023",Aug-2023,,1,376,38%
CUST1089,1000,Oneplus,34,39,26-35,Female,Barisal,4,3,Satisfied,Battery drains quickly,Negative,Battery Problem,-1,"25 February, 2023",Feb-2023,,0,375,38%
CUST1090,1000,Samsung,25,39,18-25,Female,Dhaka,1,3,Very Dissatisfied,Lags frequently,Negative,Slow System,-1,"26 December, 2023",Dec-2023,,1,375,38%
CUST1091,1000,Vivo,52,39,46-55,Other,Dhaka,1,3,Very Dissatisfied,Breaks easily,Negative,General,-1,"20 April, 2023",Apr-2023,,1,374,37%
CUST1092,1000,Apple,52,39,46-55,Other,Rajshahi,4,3,Satisfied,Excellent customer support,Positive,Service Complaint,1,"11 July, 2023",Jul-2023,,0,373,37%
CUST1093,1000,Xiaomi,50,39,46-55,Female,Rajshahi,4,3,Satisfied,Stylish design,Neutral,General,0,"3 April, 2023",Apr-2023,,0,373,37%
CUST1094,1000,Samsung,22,39,18-25,Male,Rangpur,5,3,Very Satisfied,Excellent customer support,Positive,Service Complaint,1,"21 July, 2024",Jul-2024,,0,373,37%
CUST1095,1000,Vivo,59,39,47-60,Male,Dhaka,1,3,Very Dissatisfied,Excellent customer support,Positive,Service Complaint,1,"1 March, 2023",Mar-2023,,1,373,37%
CUST1096,1000,Oneplus,56,39,47-60,Male,Khulna,1,3,Very Dissatisfied,Great performance under heavy use,Positive,General,1,"11 October, 2024",Oct-2024,,1,372,37%
CUST1097,1000,Vivo,58,39,47-60,Male,Sylhet,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"8 February, 2023",Feb-2023,,0,371,37%
CUST1098,1000,Oneplus,45,39,36-45,Male,Sylhet,3,3,Neutral,Affordable and reliable,Positive,General,1,"23 June, 2024",Jun-2024,,0,371,37%
CUST1099,1000,Samsung,24,39,18-25,Other,Barisal,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"18 February, 2023",Feb-2023,,0,371,37%
CUST1100,1000,Oneplus,26,39,26-35,Female,Dhaka,3,3,Neutral,Lags frequently,Negative,Slow System,-1,"24 February, 2024",Feb-2024,,0,371,37%
CUST1101,1000,Oppo,25,39,18-25,Other,Dhaka,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"28 September, 2024",Sep-2024,,0,371,37%
CUST1102,1000,Oppo,29,39,26-35,Male,Rangpur,1,3,Very Dissatisfied,Amazing camera quality,Positive,General,1,"13 January, 2023",Jan-2023,,1,371,37%
CUST1103,1000,Oppo,51,39,46-55,Male,Dhaka,5,3,Very Satisfied,Design feels outdated,Negative,General,-1,"5 February, 2023",Feb-2023,,0,370,37%
CUST1104,1000,Apple,50,39,46-55,Male,Khulna,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"11 April, 2023",Apr-2023,,0,370,37%
CUST1105,1000,Samsung,40,39,36-45,Male,Rajshahi,3,3,Neutral,Stylish design,Neutral,General,0,"27 March, 2023",Mar-2023,,0,370,37%
CUST1106,1000,Vivo,41,39,36-45,Female,Dhaka,2,3,Dissatisfied,Poor camera resolution,Negative,General,-1,"30 May, 2024",May-2024,,1,370,37%
CUST1107,1000,Vivo,54,39,46-55,Male,Dhaka,1,3,Very Dissatisfied,Too expensive for features,Negative,Pricing Issue,-1,"11 August, 2023",Aug-2023,,1,369,37%
CUST1108,1000,Apple,52,39,46-55,Female,Rangpur,3,3,Neutral,Great performance under heavy use,Positive,General,1,"4 December, 2023",Dec-2023,,0,368,37%
CUST1109,1000,Oneplus,57,39,47-60,Male,Chittagong,2,3,Dissatisfied,Stylish design,Neutral,General,0,"15 June, 2023",Jun-2023,,1,368,37%
CUST1110,1000,Apple,39,39,36-45,Female,Rangpur,2,3,Dissatisfied,Battery drains quickly,Negative,Battery Problem,-1,"18 January, 2024",Jan-2024,,1,367,37%
CUST1111,1000,Oneplus,44,39,36-45,Other,Rangpur,4,3,Satisfied,Very durable,Positive,General,1,"11 January, 2024",Jan-2024,,0,366,37%
CUST1112,1000,Oneplus,52,39,46-55,Male,Khulna,1,3,Very Dissatisfied,Affordable and reliable,Positive,General,1,"15 April, 2024",Apr-2024,,1,366,37%
CUST1113,1000,Xiaomi,18,39,18-25,Female,Barisal,2,3,Dissatisfied,Lags frequently,Negative,Slow System,-1,"3 October, 2024",Oct-2024,,1,365,37%
CUST1114,1000,Vivo,52,39,46-55,Other,Dhaka,3,3,Neutral,Too expensive for features,Negative,Pricing Issue,-1,"31 January, 2023",Jan-2023,,0,364,36%
CUST1115,1000,Oppo,54,39,46-55,Male,Rangpur,4,3,Satisfied,Poor camera resolution,Negative,General,-1,"10 January, 2024",Jan-2024,,0,364,36%
CUST1116,1000,Oneplus,31,39,26-35,Male,Rangpur,1,3,Very Dissatisfied,Great performance under heavy use,Positive,General,1,"11 January, 2023",Jan-2023,,1,364,36%
CUST1117,1000,Xiaomi,20,39,18-25,Male,Chittagong,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"29 October, 2023",Oct-2023,,0,363,36%
CUST1118,1000,Vivo,18,39,18-25,Female,Rangpur,3,3,Neutral,Excellent customer support,Positive,Service Complaint,1,"6 April, 2023",Apr-2023,,0,363,36%
CUST1119,1000,Oppo,22,39,18-25,Female,Sylhet,2,3,Dissatisfied,Breaks easily,Negative,General,-1,"9 July, 2023",Jul-2023,,1,363,36%
CUST1120,1000,Oneplus,43,39,36-45,Other,Barisal,2,3,Dissatisfied,Customer service is slow,Negative,Slow System,-1,"28 March, 2024",Mar-2024,,1,362,36%
CUST1121,1000,Oneplus,31,39,26-35,Female,Dhaka,3,3,Neutral,Customer service is slow,Negative,Slow System,-1,"11 July, 2023",Jul-2023,,0,361,36%
CUST1122,1000,Apple,56,39,47-60,Female,Dhaka,2,3,Dissatisfied,Excellent battery life,Positive,Battery Problem,1,"30 April, 2024",Apr-2024,,1,361,36%
CUST1123,1000,Apple,44,39,36-45,Male,Chittagong,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"23 September, 2023",Sep-2023,,0,360,36%
CUST1124,1000,Vivo,26,39,26-35,Male,Khulna,1,3,Very Dissatisfied,Breaks easily,Negative,General,-1,"28 February, 2024",Feb-2024,,1,360,36%
CUST1125,1000,Oppo,32,39,26-35,Male,Dhaka,4,3,Satisfied,Excellent battery life,Positive,Battery Problem,1,"8 May, 2023",May-2023,,0,359,36%
CUST1126,1000,Oneplus,32,39,26-35,Male,Sylhet,2,3,Dissatisfied,Customer service is slow,Negative,Slow System,-1,"26 August, 2023",Aug-2023,,1,359,36%
CUST1127,1000,Vivo,43,39,36-45,Male,Dhaka,5,3,Very Satisfied,Excellent customer support,Positive,Service Complaint,1,"21 December, 2023",Dec-2023,,0,358,36%
CUST1128,1000,Vivo,59,39,47-60,Male,Sylhet,1,3,Very Dissatisfied,Very durable,Positive,General,1,"22 April, 2023",Apr-2023,,1,358,36%
CUST1129,1000,Samsung,30,39,26-35,Male,Barisal,1,3,Very Dissatisfied,Affordable and reliable,Positive,General,1,"21 March, 2024",Mar-2024,,1,357,36%
CUST1130,1000,Apple,49,39,46-55,Other,Barisal,3,3,Neutral,Amazing camera quality,Positive,General,1,"9 December, 2023",Dec-2023,,0,356,36%
CUST1131,1000,Oppo,56,39,47-60,Other,Rajshahi,3,3,Neutral,Great performance under heavy use,Positive,General,1,"25 May, 2023",May-2023,,0,356,36%
CUST1132,1000,Oneplus,49,39,46-55,Other,Rajshahi,5,3,Very Satisfied,Design feels outdated,Negative,General,-1,"6 March, 2023",Mar-2023,,0,356,36%
CUST1133,1000,Vivo,21,39,18-25,Other,Sylhet,1,3,Very Dissatisfied,Too expensive for features,Negative,Pricing Issue,-1,"4 September, 2023",Sep-2023,,1,356,36%
CUST1134,1000,Oneplus,47,39,46-55,Male,Khulna,5,3,Very Satisfied,Excellent customer support,Positive,Service Complaint,1,"4 May, 2024",May-2024,,0,355,36%
CUST1135,1000,Samsung,54,39,46-55,Other,Dhaka,3,3,Neutral,Great performance under heavy use,Positive,General,1,"14 March, 2024",Mar-2024,,0,355,36%
CUST1136,1000,Oppo,40,39,36-45,Male,Rangpur,3,3,Neutral,Lags frequently,Negative,Slow System,-1,"16 April, 2023",Apr-2023,,0,355,36%
CUST1137,1000,Vivo,56,39,47-60,Other,Dhaka,1,3,Very Dissatisfied,Battery drains quickly,Negative,Battery Problem,-1,"30 June, 2023",Jun-2023,,1,355,36%
CUST1138,1000,Oneplus,32,39,26-35,Female,Rajshahi,4,3,Satisfied,Very durable,Positive,General,1,"3 July, 2023",Jul-2023,,0,354,35%
CUST1139,1000,Apple,46,39,46-55,Other,Rangpur,2,3,Dissatisfied,Lags frequently,Negative,Slow System,-1,"14 August, 2023",Aug-2023,,1,354,35%
CUST1140,1000,Samsung,53,39,46-55,Other,Sylhet,3,3,Neutral,Battery drains quickly,Negative,Battery Problem,-1,"30 March, 2023",Mar-2023,,0,353,35%
CUST1141,1000,Oppo,30,39,26-35,Male,Rangpur,3,3,Neutral,Stylish design,Neutral,General,0,"18 November, 2024",Nov-2024,,0,353,35%
CUST1142,1000,Samsung,49,39,46-55,Other,Dhaka,4,3,Satisfied,Affordable and reliable,Positive,General,1,"13 June, 2024",Jun-2024,,0,353,35%
CUST1143,1000,Apple,24,39,18-25,Female,Dhaka,4,3,Satisfied,Stylish design,Neutral,General,0,"6 January, 2024",Jan-2024,,0,353,35%
CUST1144,1000,Oppo,39,39,36-45,Male,Khulna,5,3,Very Satisfied,Great performance under heavy use,Positive,General,1,"3 February, 2024",Feb-2024,,0,353,35%
CUST1145,1000,Samsung,45,39,36-45,Male,Chittagong,5,3,Very Satisfied,Too expensive for features,Negative,Pricing Issue,-1,"16 April, 2023",Apr-2023,,0,353,35%
CUST1146,1000,Xiaomi,19,39,18-25,Other,Rangpur,2,3,Dissatisfied,Poor camera resolution,Negative,General,-1,"28 September, 2023",Sep-2023,,1,353,35%
CUST1147,1000,Apple,59,39,47-60,Male,Rajshahi,2,3,Dissatisfied,Poor camera resolution,Negative,General,-1,"17 May, 2024",May-2024,,1,352,35%
CUST1148,1000,Apple,23,39,18-25,Male,Rajshahi,1,3,Very Dissatisfied,Affordable and reliable,Positive,General,1,"9 November, 2024",Nov-2024,,1,351,35%
CUST1149,1000,Apple,45,39,36-45,Male,Chittagong,5,3,Very Satisfied,Too expensive for features,Negative,Pricing Issue,-1,"8 June, 2024",Jun-2024,,0,350,35%
CUST1150,1000,Xiaomi,45,39,36-45,Male,Dhaka,3,3,Neutral,Design feels outdated,Negative,General,-1,"1 February, 2023",Feb-2023,,0,350,35%
CUST1151,1000,Xiaomi,37,39,36-45,Male,Khulna,5,3,Very Satisfied,Very durable,Positive,General,1,"28 January, 2024",Jan-2024,,0,350,35%
CUST1152,1000,Oneplus,47,39,46-55,Male,Khulna,3,3,Neutral,Design feels outdated,Negative,General,-1,"9 February, 2023",Feb-2023,,0,350,35%
CUST1153,1000,Vivo,28,39,26-35,Female,Rajshahi,4,3,Satisfied,Very durable,Positive,General,1,"21 October, 2024",Oct-2024,,0,350,35%
CUST1154,1000,Samsung,45,39,36-45,Other,Khulna,5,3,Very Satisfied,Excellent customer support,Positive,Service Complaint,1,"6 August, 2023",Aug-2023,,0,350,35%
CUST1155,1000,Oneplus,42,39,36-45,Female,Barisal,4,3,Satisfied,Great performance under heavy use,Positive,General,1,"31 December, 2024",Dec-2024,,0,350,35%
CUST1156,1000,Samsung,56,39,47-60,Male,Chittagong,2,3,Dissatisfied,Stylish design,Neutral,General,0,"23 March, 2023",Mar-2023,,1,350,35%
CUST1157,1000,Vivo,50,39,46-55,Male,Dhaka,2,3,Dissatisfied,Poor camera resolution,Negative,General,-1,"20 December, 2024",Dec-2024,,1,349,35%
CUST1158,1000,Xiaomi,18,39,18-25,Other,Barisal,1,3,Very Dissatisfied,Battery drains quickly,Negative,Battery Problem,-1,"20 July, 2023",Jul-2023,,1,348,35%
CUST1159,1000,Vivo,44,39,36-45,Female,Chittagong,5,3,Very Satisfied,Amazing camera quality,Positive,General,1,"22 March, 2024",Mar-2024,,0,347,35%
CUST1160,1000,Xiaomi,30,39,26-35,Other,Sylhet,4,3,Satisfied,Customer service is slow,Negative,Slow System,-1,"3 March, 2024",Mar-2024,,0,347,35%
